name,link,description
Calvados,https://www.strava.com/activities/5940451237,"Set off with Elena, Dean and Ioana from the ferry. Stopping for two breakfasts and a broken spoke slowed us down massively so I split at 90k to try and get a bit further on. Nearly caught in a huge thunderstorm."
Le Mans,https://www.strava.com/activities/5940465566,"Trying to make up yesterday’s lack of distance, this was an absolute slog. Windy, humid, wet and sunny all at the same time."
Tours & Loire Valley,https://www.strava.com/activities/6192540596,Met Rupert in Savonnières just in time for yet another storm. Easy ride back to his through the Chinon forest (with many snacks and drinks).
Vienne,https://www.strava.com/activities/5950642040,"Riding with Rupert along the Vienne river. Unfortunately the original camp spot (by a waterfall) was blocked off, but we found another place alongside the river anyway"
Limousin,https://www.strava.com/activities/5950647227,"Riding solo again. Made a 20km detour to meet Scott for lunch, then pressed on into the Limousin. The hills are starting…"
Périgord,https://www.strava.com/activities/5963211106,Lumpy and hot. Big thunderstorm forecast in the evening so camped out under a bandstand to give the tent a rest!
Dordogne,https://www.strava.com/activities/5963214682,"Supposed to be an easy drop into wine country for a rest day, but thanks to an incredibly meandering cycle path turned out much longer than expected! Still very humid, the storm needs to break!"
Les Landes de Gascogne,https://www.strava.com/activities/5975914017,"Flat and fast day out to the coast, with yet more headwind. Started out grey but cleared up for an amazing sunset. Slept on a picnic table in the pines."
Côte Landais,https://www.strava.com/activities/5975937249,Easy half day out to the beach at Moliets. Through the french outback?
Pays Basque,https://www.strava.com/activities/5987205098,Atoning for the revelry of the night before. Relentlessly wet until the last hour. Slightly improved by the local cakes and seeing kiwi groves
Lourdes,https://www.strava.com/activities/5987211598,Shorter day and mercifully dry. Climbing up to Lourdes for a mechanical pit stop in preparation for the real climbs. Managed to catch the depart of a local race in Nay!
Pre Tourmalet,https://www.strava.com/activities/6007689799,"Finally underway again after a very frustrating 4 days of mechanical problems in Lourdes. Too late in the day to go up Tourmalet, so it’s first up tomorrow"
"Col de Tourmalet, Hourquette d'Ancizan & Lac de Cap de Long",https://www.strava.com/activities/6024480015,"A Very Long Day. Took in an incredible gravel backroad that joins the Tourmalet to the Hourquette (or Aspin). The final climb up to the lake was brutal, much harder than Tourmalet. Camped out next to a refuge due to terrible forecast."
"Lac d'Aubert, Col d'Azet, Col de Peyresourde & Porte de Bales",https://www.strava.com/activities/6024489150,"Phenomenal descents all day long, particularly Azet, which was very sinewy. Paced up the final two climbs by none other than an ex French Ironman champion, which was much appreciated. Porte de Bales was tough. Stopped for the night in an open refuge which turned into an unexpected party!"
